2026-05-10 20:40:41 | DEBUG    | main | Запуск скрипта
2026-05-10 20:40:41 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:40:41 | CRITICAL | main | Файл не найден для чтения , введите правильный упть
2026-05-10 20:40:41 | DEBUG    | main | Конец работы
2026-05-10 20:41:54 | DEBUG    | main | Запуск скрипта
2026-05-10 20:41:54 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:41:54 | CRITICAL | main | Файл не найден для чтения , введите правильный упть
2026-05-10 20:41:54 | DEBUG    | main | Конец работы
2026-05-10 20:42:13 | DEBUG    | main | Запуск скрипта
2026-05-10 20:42:13 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:42:13 | CRITICAL | main | Файл не найден для чтения , введите правильный упть
2026-05-10 20:42:13 | DEBUG    | main | Конец работы
2026-05-10 20:42:53 | DEBUG    | main | Запуск скрипта
2026-05-10 20:42:53 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:42:53 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:42:53 | DEBUG    | main | Конец работы
2026-05-10 20:42:55 | DEBUG    | main | Запуск скрипта
2026-05-10 20:42:55 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:42:55 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:42:55 | DEBUG    | main | Конец работы
2026-05-10 20:43:15 | DEBUG    | main | Запуск скрипта
2026-05-10 20:43:15 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:43:15 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:43:15 | DEBUG    | main | Конец работы
2026-05-10 20:43:23 | DEBUG    | main | Запуск скрипта
2026-05-10 20:43:23 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:43:23 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:43:23 | DEBUG    | main | Конец работы
2026-05-10 20:44:15 | DEBUG    | main | Запуск скрипта
2026-05-10 20:44:15 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:44:15 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:44:15 | DEBUG    | main | Конец работы
2026-05-10 20:44:32 | DEBUG    | main | Запуск скрипта
2026-05-10 20:44:32 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:44:32 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:44:32 | DEBUG    | main | Конец работы
2026-05-10 20:45:56 | DEBUG    | main | Запуск скрипта
2026-05-10 20:45:56 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:45:56 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:45:56 | DEBUG    | main | Конец работы
2026-05-10 20:46:08 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:08 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:08 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:08 | DEBUG    | main | Конец работы
2026-05-10 20:46:24 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:24 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:24 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:24 | DEBUG    | main | Конец работы
2026-05-10 20:46:24 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:24 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:24 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:24 | DEBUG    | main | Конец работы
2026-05-10 20:46:25 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:25 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:25 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:25 | DEBUG    | main | Конец работы
2026-05-10 20:46:25 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:25 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:25 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:25 | DEBUG    | main | Конец работы
2026-05-10 20:46:25 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:25 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:25 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:25 | DEBUG    | main | Конец работы
2026-05-10 20:46:25 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:25 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:25 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:25 | DEBUG    | main | Конец работы
2026-05-10 20:46:26 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:26 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:26 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:26 | DEBUG    | main | Конец работы
2026-05-10 20:46:26 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:26 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:26 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:26 | DEBUG    | main | Конец работы
2026-05-10 20:46:26 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:26 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:26 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:26 | DEBUG    | main | Конец работы
2026-05-10 20:46:26 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:26 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:26 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:26 | DEBUG    | main | Конец работы
2026-05-10 20:46:26 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:26 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:26 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:26 | DEBUG    | main | Конец работы
2026-05-10 20:46:27 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:27 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:27 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:27 | DEBUG    | main | Конец работы
2026-05-10 20:46:28 | DEBUG    | main | Запуск скрипта
2026-05-10 20:46:28 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:46:28 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:46:28 | DEBUG    | main | Конец работы
2026-05-10 20:47:49 | DEBUG    | main | Запуск скрипта
2026-05-10 20:47:49 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:47:49 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:47:49 | DEBUG    | main | Конец работы
2026-05-10 20:47:59 | DEBUG    | main | Запуск скрипта
2026-05-10 20:47:59 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:47:59 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:47:59 | DEBUG    | main | Конец работы
